Invention/Discovery,Name of the Inventor,Year of Invention,,,
Automatic Calculator,Wilhelm Schickard,1623,,,
Air Conditioner,Willis Carrier,1902,,,
Anemometer,Leon Battista Alberti,1450,,,
Animation,J. Stuart Blackton,—,,,
Atom Bomb,Julius Robert Oppenheimer,1945,,,
Aspirin,Dr. Felix Hoffman,1899,,,
Airplane,Wilber and Orville Wright,1903,,,
Adhesive tape,Richard G. Drew,1923,,,
Bifocal Lens,Benjamin Franklin,1779,,,
Barometer,Evangelista Torricelli,1643,,,
Barbed Wire,Joseph F. Glidden,1873,,,
Blood Group,Karl Lansdsteiner,1900s,,,
Ball Point Pen,John Loud,—,,,
Bicycle Tyres,John Boyd Dunlop,1888,,,
Pedal Driven Bicycle,Kirkpatrick Macmillan,1839,,,
Celluloid,Alexander Parkes,1861,,,
Chloroform,Sir James Young Simpson,—,,,
Cine Camera,Wm. Friese-Greene,1889,,,
Circulation of blood,William Harvey,1628,,,
Clock Mechanical,Hsing and Ling-Tsan,1725,,,
Diesel Engine,Rudolf Diesel,1892,,,
Centigrade Scale,Anders Celsius,1742,,,
Chlorine,Carl Wilhelm Scheele,1774,,,
Dynamite,Alfred B. Nobel,1867,,,
Diesel Engine,Rudolf Diesel,1895,,,
Electric stove/cooker,William S. Hadaway,1896,,,
Electroscope,William Gilbert,1600s,,,
Electric Fan,Schuyler Wheeler,1882,,,
Electric Battery,Volta,1800,,,
Elevator,Elisha G. Otis,1852,,,
Electric Motor (DC),Thomas Davenport,1873,,,
Electromagnet,William Sturgeon,1824,,,
Fountain Pen,Petrache Poenaru,1827,,,
Fluorine,André-Marie Ampère,1810,,,
Gramophone,Thomas Edison,1878,,,
Hydrogen,Henry Cavendish,1766,,,
Helicopter,Igor Sikorsky,1939,,,
Hovercraft,Christopher Cockerell,1959,,,
Hot Air Balloon,Josef & Etienne Montgolfier,1783,,,
Helium,Jules Janssen,1868,,,
Insulin,Sir Frederick Banting,1923,,,
Jet Engine,Hans Von Ohain,1936,,,
Lightning Conductor,Benjamin Franklin,1752,,,
Locomotive,George Stephenson,1804,,,
Laser,Theodore Maiman,1960,,,
Light Bulb,Thomas Edison,1854,,,
Motorcycle,Gottlieb Daimler,1885,,,
Microscope,Zacharis Janssen,1590,,,
Microphone,Alexander Graham Bell,1876,,,
Machine Gun,Richard Gatling,1861,,,
