Invention/Discovery,Name of the Inventor,Year of Invention,Nationality,Category
pneumatic tube,Alfred Ely Beach,1867,United States,
Franklin stove,Benjamin Franklin,1740,United States,
Bifocal Lens,Benjamin Franklin,1784,United States,
Lightning Conductor,Benjamin Franklin,1752,United States,
automobile electrical starter,Charles F. Kettering,1912,United States,
vulcanized rubber,Charles Goodyear,1839,United States,
Rubber (vulcanized),Charles Goodyear,1841,United States,
maser,Charles Hard Townes,1953,United States,
electrolytic aluminum smelting,"Charles Martin Hall, Paul-Louis-Toussaint Héroult",1886,United States,
Richter Scale,Charles Richter,1935,United States,
inertial guidance systems for aircraft,Charles Stark Draper,1949,United States,
graphophone cylinder sound recorder,Charles Sumner Tainter,1886,United States,
one-day brass clock movement,Chauncey Jerome,1838,United States,
Xerox Machine,Chester Carlson,1928,United States,
xerography,Chester F. Carlson,1938,United States,
typewriter,Christopher Latham Sholes,1868,United States,
Spencer breech-loading carbine,Christopher M. Spencer,1860,United States,
rapid-frozen food,Clarence Birdseye,1924,United States,
FrozenFood,ClarenceBirdseye,1925,United States,
mechanical reaper,Cyrus Hall McCormick,1831,United States,
hand-powered submarine,David Bushnell,1775,United States,
OpticalDisc,DavidPaulGregg,1958,United States,
computer mouse,Douglas Engelbart,1964,United States,
Radar,Dr. Albert H. Taylor & Leo C. Young,1922,United States,
Synthesizer,Dr. Robert Arthur Moog,1964,United States,
Coca-Cola,Dr.JohnPemberton,1886,United States,
Carborundum,Edward Goodrich Acheson,1893,United States,
frequency modulation (FM) of radio waves,Edwin H. Armstrong,1933,United States,
Polaroid instant-print camera,Edwin Herbert Land,1947,United States,
cotton gin,Eli Whitney,1794,United States,
Sewing Machine,Elias Howe,1846,United States,
Telegraph,EliasHowe,1846,United States,
Elevator,Elisha G. Otis,1852,United States,
safety elevator,Elisha Graves Otis,1852,United States,
gyroscopic compass,Elmer Ambrose Sperry,1911,United States,
cyclotron particle accelerator,Ernest Orlando Lawrence,1934,United States,
CanOpener,EzraWarner,1858,United States,
cylindrical grain silo,Franklin Hiram King,1889,United States,
FerrisWheel,G.W.G.FerrisJr.,1893,United States,
Kodak camera,George Eastman,1888,United States,
Film,George Eastman,1888,United States,
Pullman sleeping car,George M. Pullman,1865,United States,
air brake,George Westinghouse,1869,United States,
Camera,GeorgeEastman,1888,United States,
SleepingCar,GeorgePullman,1857,United States,
compiler,Grace Hopper,1952,United States,
carburizing (surface hardening of steel plate),Hayward A. Harvey,1892,United States,
spread-spectrum technology,Hedy Lamarr,1942,United States,
automobile assembly line,Henry Ford,1913,United States,
tabulating machine,Herman Hollerith,1890,United States,
Colburn flat-glass machine,Irving Wightman Colburn,1916,United States,
babbitt metal,Isaac Babbitt,1839,United States,
domestic sewing machine,Isaac Merrit Singer,1851,United States,
Lewis machine gun,Isaac Newton Lewis,1911,United States,
integrated circuit,Jack Kilby,1958,United States,
all-steel one-piece plow,John Deere,1838,United States,
early steamboat,John Fitch,1787,United States,
Browning automatic rifle,John Moses Browning,1918,United States,
screw-driven steamboat,John Stevens,1802,United States,
ENIAC general-purpose electronic computer,John W. Mauchly,1946,United States,
barbed wire,Joseph Farwell Glidden,1873,United States,
universal grinding machine,Joseph Rogers Brown,1877,United States,
mechanical dishwasher,Josephine Cochrane,1886,United States,
nonreflective glass,Katharine Blodgett,1938,United States,
UNIX operating system,"Kenneth L. Thompson, Dennis M. Ritchie",1969,United States,
disposable razor,King Camp Gillette,1895,United States,
Hammond organ (electronic keyboard),Laurens Hammond,1934,United States,
Audion vacuum tube amplifier,Lee De Forest,1906,United States,
electric guitar,Leo Fender,1948,United States,
eight-track tape recorder,Les Paul,1947,United States,
Yale cylinder lock,Linus Yale,1863,United States,
flat-bottomed paper bag,Margaret Knight,1871,United States,
solar-heated home,Mária Telkes,1948,United States,
windshield wiper,Mary Anderson,1903,United States,
carpet sweeper,Melville Reuben Bissell,1876,United States,
coronary artery bypass,Michael DeBakey,1964,United States,
high-pressure steam engine (U.S.),Oliver Evans,1790,United States,
Laserphaco Probe,Patricia Bath,1981,United States,
magnetic resonance imaging (MRI),Paul Lauterbur,1973,United States,
Tom Thumb steam locomotive,Peter Cooper,1830,United States,
Image Dissector electronic television camera,Philo Taylor Farnsworth,1927,United States,
geodesic dome,R. Buckminster Fuller,1947,United States,
Gatling gun,Richard Jordan Gatling,1862,United States,
rotary printing press,Richard March Hoe,1847,United States,
commercial steamboat,Robert Fulton,1807,United States,
Steam Ship,Robert Fulton,1807,United States,
Steam Boat,Robert Fulton,1786,United States,
Rocket Engine,Robert H. Goddard,1926,United States,
liquid-fueled rocket engine,Robert Hutchings Goddard,1926,United States,
Van de Graaff generator for particle accelerators,Robert Jemison Van de Graaff,1929,United States,
Parrott gun (rifled cannon),Robert Parker Parrott,1861,United States,
revolver,Samuel Colt,1835,United States,
electric telegraph,Samuel F.B. Morse,1837,United States,
Morse code,Samuel F.B. Morse,1838,United States,
supercomputer,Seymour Cray,1964,United States,
Kevlar,Stephanie Kwolek,1965,United States,
Apple II personal computer,Stephen Wozniak,1977,United States,
ruby laser,Theodore H. Maiman,1960,United States,
Laser,Theodore Maiman,1960,United States,
phonograph cylinder sound recorder,Thomas Alva Edison,1877,United States,
incandescent lightbulb,Thomas Alva Edison,1879,United States,
electric motor,Thomas Davenport,1834,United States,
Electric Motor (DC),Thomas Davenport,1873,United States,
prismatic gunpowder,Thomas Jackson Rodman,1845,United States,
Transmission Control Protocol/Internet Protocol (TCP/IP),"Vinton Cerf, Robert Kahn",1974,United States,
Apgar Score System,Virginia Apgar,1952,United States,
nylon,Wallace Hume Carothers,1935,United States,
"powered, sustained, and controlled airplane flight",Wilbur and Orville Wright,1903,United States,
carbon-14 dating,Willard Frank Libby,1947,United States,
X-ray tube,William D. Coolidge,1916,United States,
Howe truss for bridges,William Howe,1840,United States,
pneumatic steel-making process,William Kelly,1850,United States,
adding machine,William Seward Burroughs,1892,United States,
Air Conditioner,Willis Carrier,1902,United States,
air-conditioning,Willis Haviland Carrier,1902,United States,
WashingMachine(rotary),HamiltonSmith,1858,United States,
Iron(electric),HenryW.Seeley,1882,United States,
Vitamin E,Herbert McLean Evans & Katherine Scott Bishop,1922,United States,
Virtual reality,Ivan Sutherland,1968,United States,
Vacuum Cleaner,Ives McGuffey,1869,United States,
AstroTurf,J.Faria&R.Wright,1965,United States,
ElectricShaver,JacobSchick,1928,United States,
CompactDisk,JamesRussell,1965,United States,
Ball Point Pen,John Loud,1888,United States,
Artificial intelligence,"John McCarthy, Marvin Minsky, Allen Newell and Herbert A. Simon",1956,United States,
Polio Vaccine,Jonas Edward Salk,1955,United States,
Dishwasher,JosephineG.Cochran,1886,United States,
Atom Bomb,Julius Robert Oppenheimer,1945,United States,
SafetyRazor,KingGillette,1859,United States,
CylinderLock,LinusYaleJr.,1862,United States,
Mobile phones,Martin Cooper,1973,United States,
Genetic engineering,Paul Berg,1972,United States,
Microwave oven,Percy Spencer,1945,United States,
Television,Philo Farnsworth,1927,United States,
MRI,Raymond Damadian,1977,United States,
YellowPages,ReubenH.Donnelly,1886,United States,
Adhesive tape,Richard G. Drew,1923,United States,
Machine Gun,Richard Gatling,1861,United States,
Artificial heart,Robert Jarvik,1982,United States,
Steamboat,RobertFulton,1807,United States,
GPS,"Roger L. Easton, Ivan A. Getting and Bradford Parkinson",1978,United States,
Teflon,SamuelMorse,1837,United States,
Electric Fan,Schuyler Wheeler,1882,United States,
Gramophone,Thomas Edison,1878,United States,
Light Bulb,Thomas Edison,1854,United States,
ElectricLightBulb,ThomasEdison,1878,United States,
Phonograph,ThomasEdison,1877,United States,
TeaBag,ThomasSullivan,1908,United States,
SafetyPin,WalterHunt,1895,United States,
ZipFastener,WhitcombJudson,1893,United States,
Airplane,Wilber and Orville Wright,1903,United States,
Electric stove/cooker,William S. Hadaway,1896,United States,
Transistor,"William Shockley, John Bardeen and Walter Brattain",1947,United States,
Dark Energy,"Saul Perlmutter, Brian P. Schmidt, and Adam G. Riess",1998,United States / Australia,
DNA,James Watson and Francis Crick,1953,United States / United Kingdom,
The structure of DNA,James Watson and Francis Crick,1953,United States / United Kingdom,
Maxim machine gun,Hiram Maxim,1884,United States / United Kingdom,
Blood Group,Karl Lansdsteiner,1900,Austria,
internal-combustion engine,Étienne Lenoir,1858,Belgium,
The Big Bang theory,Georges Lemaître,1927,Belgium,
RollerSkates,JosephMerlin,1760,Belgium,
Bakelite,Leo Hendrik Baekeland,1909,Belgium / United States,
saxophone,Antoine-Joseph Sax,1842,Belgium / France,
Celluloid,Alexander Parkes,1861,United Kingdom,
Evolution by natural selection,Charles Darwin,1859,United Kingdom,
Theory of Evolution,Charles Darwin,1858,United Kingdom,
Ship (Turbine),Charles Parsons,1894,United Kingdom,
Hovercraft,Christopher Cockerell,1959,United Kingdom,
Vaccines,Edward Jenner,1796,United Kingdom,
SmallpoxVaccination,EdwardJenner,1796,United Kingdom,
Vitamin A,Frederick Gowland Hpokins,1912,United Kingdom,
Linoleum,FrederickWalton,1861,United Kingdom,
Locomotive,George Stephenson,1804,United Kingdom,
VacuumCleaner,H.CecilBooth,1901,United Kingdom,
Hydrogen,Henry Cavendish,1766,United Kingdom,
The Electron,J.J. Thomson,1897,United Kingdom,
The Neutron,James Chadwick,1932,United Kingdom,
Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin",1985,United Kingdom,
Black holes,John Michell,1873,United Kingdom,
Sextant,JohnCampbell,1757,United Kingdom,
PhosphorusMatches,JohnWalker,1827,United Kingdom,
Oxygen,Joseph Priestley,1774,United Kingdom,
KelvinScale,LordW.T.Kelvin,1848,United Kingdom,
Umbrella(steelribbed),SamuelFox,1852,United Kingdom,
Valve. Radio,Sir J.A Fleming,1904,United Kingdom,
Miners'SafetyLamp,SirHumphryDavy,1815,United Kingdom,
SteamEngine,ThomasSavery,1698,United Kingdom,
Electroscope,William Gilbert,1600,United Kingdom,
Circulation of blood,William Harvey,1628,United Kingdom,
Electromagnet,William Sturgeon,1824,United Kingdom,
Cine Camera,Wm. Friese-Greene,1889,United Kingdom,
Animation,J. Stuart Blackton,1900,United Kingdom / United States,
Higgs Boson,Peter Higgs and François Englert,2012,United Kingdom / Belgium,
World Wide Web,Tim Berners Lee with Robert Cailliau ,1989,United Kingdom / Belgium,
Insulin,Sir Frederick Banting,1923,Canada,
basketball,James A. Naismith,1891,Canadia / United States,
amplitude modulation (AM) of radio waves,Reginald Aubrey Fessenden,1900,Canadia / United States,
Firearms,Jiao Yu,12th century,China,
Navigational compass,Zhu Yu,11th century,China,
Paper currency,,(7th century),China,
paper,Cai Lun,2nd century CE,China,
Clock Mechanical,Hsing and Ling-Tsan,1725,China,
Soft Contact lenses,Otto Wichterle,1961,Czechia,
telegraphone magnetic wire recorder,Valdemar Poulsen,1900,Denmark,
Vitamin K,Henrik Dam,1929,Denmark,
single-lens microscope,Antonie van Leeuwenhoek,1670,Netherlands,
Vitamin B,Christiaan Eijkman,1897,Netherlands,
pendulum clock,Christiaan Huygens,1658,Netherlands,
oar-powered submarine,Cornelis Drebbel,1620,Netherlands,
Submarine,Cornelis Drebbel,1620,Netherlands,
Telescope,Hans Lippershey,1608,Netherlands,
Superconductivity,Heike Kamerlingh Onnes,1911,Netherlands,
First Supermassive Black Hole,Maarten Schmidt,1963,Netherlands,
Decimals,SimonStevin,1585,Netherlands,
Microscope,Zacharis Janssen,1590,Netherlands,
First Gravitational Lens,J. H. Oort and F. Zwicky,1937,Netherlands / Switzerland,
step pyramid,Imhotep,27th century BCE,Egypt,
used coke to smelt iron,Abraham Darby,1709,United Kingdom,
crucible steel,Benjamin Huntsman,1740,United Kingdom,
multistage steam turbine,Charles Algernon Parsons,1884,United Kingdom,
Analytical Engine mechanical computer,Charles Babbage,1835,United Kingdom,
electric needle telegraph,Charles Wheatstone,1837,United Kingdom,
repeating watch mechanism for sounding the nearest hour and quarter hour,Daniel Quare,1680,United Kingdom,
wool-combing machine,Edmund Cartwright,1789,United Kingdom,
electromagnetic telegraph repeater,Edward Davy,1836,United Kingdom,
wet collodion photography process,Frederick Scott Archer,1851,United Kingdom,
first glider to carry a human,George Cayley,1853,United Kingdom,
passenger train pulled by steam locomotive,George Stephenson,1825,United Kingdom,
steam carriage,Goldsworthy Gurney,1830,United Kingdom,
Bessemer steelmaking process,Henry Bessemer,1856,United Kingdom,
metal lathe,Henry Maudslay,1800,United Kingdom,
Pitman shorthand,Isaac Pitman,1837,United Kingdom,
Great Western transatlantic steamer,Isambard Kingdom Brunel,1837,United Kingdom,
bicycle with centre-pivot steering,James Starley,1871,United Kingdom,
mechanical seed drill,Jethro Tull,1701,United Kingdom,
vacuum diode rectifier,John Ambrose Fleming,1904,United Kingdom,
geared steam locomotive,John Blenkinsop,1811,United Kingdom,
Daniell cell battery,John Frederic Daniell,1836,United Kingdom,
quadrant for determining latitude,John Hadley,1730,United Kingdom,
marine chronometer,John Harrison,1735,United Kingdom,
lace-making machine,John Heathcoat,1809,United Kingdom,
flying shuttle,John Kay,1733,United Kingdom,
reciprocating compound steam engine,Jonathan Hornblower,1781,United Kingdom,
hydraulic press,Joseph Bramah,1795,United Kingdom,
pyrometer,Josiah Wedgwood,1782,United Kingdom,
life raft,Maria Beasley,1880,United Kingdom,
steam railway locomotive,Richard Trevithick,1803,United Kingdom,
postage stamp,Rowland Hill,1837,United Kingdom,
spinning mule,Samuel Crompton,1779,United Kingdom,
silk-combing machine,Samuel Cunliffe Lister,1865,United Kingdom,
water frame (spinning machine),Sir Richard Arkwright,1764,United Kingdom,
Sheffield plate,Thomas Boulsover,1742,United Kingdom,
modern clinical thermometer,Thomas Clifford Allbutt,1866,United Kingdom,
rubber masticator,Thomas Hancock,1821,United Kingdom,
atmospheric steam engine,Thomas Newcomen,1712,United Kingdom,
steam-driven vacuum pump,Thomas Savery,1698,United Kingdom,
Manchester Mark I stored-program digital computer,Tom Kilburn,1949,United Kingdom,
astronomical photography,Warren De la Rue,1862,United Kingdom,
military rocket,William Congreve,1805,United Kingdom,
knitting machine,William Lee,1589,United Kingdom,
hydrometer,William Nicholson,1790,United Kingdom,
soda papermaking process,Hugh Burgess,1851,United Kingdom / United States,
Linux open-source operating system,Linus Torvalds,1991,Finland,
water turbine,Benoît Fourneyron,1827,France,
semaphore telegraph,Claude Chappe,1794,France,
cylindrical Minié bullet,Claude-Étienne Minié,1849,France,
early paddlewheel steamboat,"Claude-François-Dorothée, marquis de Jouffroy d'Abbans",1783,France,
Guillotine,Dr.JosephI.Guillotin,1792,France,
Mayonnaise,DukedeRichelieu'schef,1756,France,
Fluorine,Ferdinand Frederick Henri Moissan,1886,France,
electric storage battery,Gaston Planté,1859,France,
Neon Lamp,Georges Claude,1915,France,
dry-cell battery,Georges Leclanché,1866,France,
pitot tube,Henri Pitot,1732,France,
cylindrical bullet,Henri-Gustave Delvigne,1830,France,
rayon,Hilaire Bernigaud de Chardonnet,1884,France,
automated loom,Jacques de Vaucanson,1745,France,
Aqua-Lung,Jacques-Yves Cousteau,1943,France,
glass aquarium,Jeanne Villepreux-Power,1832,France,
reinforced concrete,Joseph Monier,1867,France,
Jacquard loom,Joseph-Marie Jacquard,1801,France,
Braille writing system,Louis Braille,1824,France,
trichrome process of colour photography,Louis Ducos du Hauron,1869,France,
pasteurization,Louis Pasteur,1863,France,
daguerreotype,Louis-Jacques-Mandé Daguerre,1839,France,
Cinématographe motion-picture camera and projector,Lumière brothers,1894,France,
permanent photographic image,Nicéphore Niépce,1824,France,
graphite pencil,Nicolas-Jacques Conté,1795,France,
steam-driven gun carriage,Nicolas-Joseph Cugnot,1769,France,
stethoscope,René-Théophile-Hyacinthe Laënnec,1819,France,
Steam-Powered Airship,Henri Giffard,1852,France,
Bikini,JacquesHeim/LouisReard,1946,France,
Hot Air Balloon,Josef & Etienne Montgolfier,1783,France,
Greenhouse Effect,Joseph Fourier,1924,France,
Photography,Joseph Nicéphore Niépce,1826,France,
Helium,Jules Janssen,1868,France,
Parachute,Louis-Sebastien Lenormand,1783,France,
The laws of thermodynamics,Sadi Carnot,1924,France,
pressure cooker,Denis Papin,1679,France / United Kingdom,
geared steam tunneling shield,Marc Isambard Brunel,1818,France / United Kingdom,
Continental Drift,Alfred Wegener,1912,Germany,
Plate tectonics,Alfred Wegener,1912,Germany,
lithography,Alois Senefelder,1798,Germany,
Rifle,AugustKotter,1520,Germany,
Ozone,Christian Schonbein,1839,Germany,
Aspirin,Dr. Felix Hoffman,1899,Germany,
electron microscope,Ernst Ruska,1933,Germany,
Wankel rotary gasoline engine,Felix Wankel,1954,Germany,
zeppelin airship,Ferdinand von Zeppelin,1890,Germany,
scanning tunneling microscope,Gerd Binnig,1981,Germany,
high-speed internal-combustion engine,Gottlieb Daimler,1885,Germany,
Motorcycle,Gottlieb Daimler,1885,Germany,
Geiger counter,Hans Geiger,1908,Germany,
jet aircraft,Hans Joachim Pabst von Ohain,1939,Germany,
practical automobile with an internal-combustion engine,Karl Friedrich Benz,1885,Germany,
coffee filters,Melitta Bentz,1908,Germany,
four-stroke internal-combustion engine,Nikolaus August Otto,1876,Germany,
needle-firing rifle,Nikolaus von Dreyse,1827,Germany,
Lilienthal standard glider,Otto Lilienthal,1894,Germany,
arsphenamine anti-syphilis drug,Paul Ehrlich,1910,Germany,
gasoline-powered automobile,Siegfried Marcus,1864,Germany,
Jet Engine,Hans Von Ohain,1936,Germany,
Printing Press,Johannes Gutenberg,1440,Germany,
MovableType,JohannGuttenberg,1453,Germany,
Automobile,Karl Benz,1886,Germany,
Petrol for Motor Car,Karl Benz,1885,Germany,
Bicycle,KarlvonSauerbronn,1816,Germany,
Quantum mechanics,Max Planck,1900,Germany,
Diesel Engine,Rudolf Diesel,1892,Germany,
X-ray,Wilhelm Conrad Roentgen,1895,Germany,
Automatic Calculator,Wilhelm Schickard,1623,Germany,
Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson,1965,Germany / United States,
Jeans,LeviStrauss,1873,Germany / United States,
The theory of relativity,Albert Einstein,1905,Germany / Switzerland / United States,
Gramophone disc sound recorder,Emil Berliner,1887,Germany / United States,
Linotype typesetting machine,Ottmar Mergenthaler,1884,Germany / United States,
open-hearth furnace,William Siemens,1861,Germany / United Kingdom,
compound microscope,Hans Lippershey,1590,Germany / Netherlands,
Archimedes screw,Archimedes,3rd century BCE,Greece,
float-type clepsydra (water clock),Ctesibius of Alexandria,3rd century BCE,Greece,
aeolipile (steam-powered turbine),Heron of Alexandria,1st century CE,Greece,
Vitamin C,Albert Szent-Gyorgi,1927,Hungary,
Rubik's cube,Erno Rubik,1974,Hungary,
Holography,D.Gabor,1965,Hungary / United Kingdom,
First Black Hole Merger,LIGO Scientific Collaboration,2015,International,
Gravitational Waves,LIGO Scientific Collaboration,2015,International,
gasoline-electric submarine,John Philip Holland,1898,Ireland / United States,
Uzi submachine gun,Uziel Gal,1954,Israel,
electric battery,Alessandro Volta,1800,Italy,
Battery(electric),AlessandroVolta,1800,Italy,
Piano,Bartolomeo Cristofori,1700,Italy,
mercury barometer,Evangelista Torricelli,1643,Italy,
Barometer,Evangelista Torricelli,1643,Italy,
Thermometer,Galileo,1593,Italy,
lens-grinding lathe,Giuseppe Campani,1664,Italy,
wireless telegraph,Guglielmo Marconi,1896,Italy,
Radio,Guglielmo Marconi,1894,Italy,
Anemometer,Leon Battista Alberti,1450,Italy,
Electric Battery,Volta,1800,Italy,
Nuclear power,Enrico Fermi and team,1942,Italy / United States,
Mechanical clock,Giovanni de Dondi,1335,Italy,
Glasses,Salvino D'Armati,1280,Italy,
The Proton,Ernest Rutherford,1917,New Zealand / United Kingdom,
ski bindings,Sondre Nordheim,1860,Norway,
marine outboard motor,Ole Evinrude,1906,Norway / United States,
Q-Tips,LeoGerstenzang,1923,Poland / United States,
Exoplanets,Aleksander Wolszczan and Dale Frail,1992,Poland / Canada,
Radium,Marie & Pierre Curie,1898,Poland / France,
Radioactivity,Marie Curie,1896,Poland / France,
AlcoholThermometer,GabrielFahrenheit,1709,Poland / Germany,
stone tools,Homo habilis,c. 2 million years ago,Prehistoric,
air pump,Otto von Guericke,1650,Prussia,
Fountain Pen,Petrache Poenaru,1827,Romania,
Periodic Table,Dmitri Mendeleev,1869,Russia,
The periodic table,Dmitri Mendeleev,1869,Russia,
Yablochkov candle (arc lamp),Pavel Nikolayevich Yablochkov,1876,Russia,
production helicopter,Igor Sikorsky,1939,Russia / United States,
Helicopter,Igor Sikorsky,1939,Russia / United States,
Iconoscope and Kinescope electronic television camera and receiver,Vladimir Kosma Zworykin,1923,Russia / United States,
high-definition electronic television system,Isaac Shoenberg,1931,Russia / United Kingdom,
Penicillin,Alexander Fleming,1928,Scotland,
percussion-lock musket,Alexander John Forsyth,1807,Scotland,
threshing machine,Andrew Meikle,1788,Scotland,
mackintosh waterproof fabric,Charles Macintosh,1823,Scotland,
Kaleidoscope,DavidBrewster,1817,Scotland,
vacuum flask,James Dewar,1892,Scotland,
improved steam engine with separate condenser,James Watt,1765,Scotland,
Steam engine,James Watt,1765,Scotland,
pneumatic rubber tire,John Boyd Dunlop,1887,Scotland,
Bicycle Tyres,John Boyd Dunlop,1888,Scotland,
electromechanical television,John Logie Baird,1924,Scotland,
macadam road surface,John Loudon McAdam,1815,Scotland,
breech-loading flintlock rifle,Patrick Ferguson,1776,Scotland,
radar early warning,Robert Alexander Watson-Watt,1935,Scotland,
Stirling external-combustion engine,Robert Stirling,1816,Scotland,
Sun-and-planet motion for steam engines,William Murdock,1781,Scotland,
PneumaticTyre,JohnDunlop,1888,Scotland,
Pedal Driven Bicycle,Kirkpatrick Macmillan,1839,Scotland,
Chloroform,Sir James Young Simpson,1847,Scotland,
Refrigerator,William Cullen,1748,Scotland,
Microphone,Alexander Graham Bell,1876,Scotland / Canada / United States,
Telephone,Graham Bell,1874,Scotland / Canada / United States,
alternating-current electric motor,Nikola Tesla,1880,Serbia / United States,
Dynamite,Alfred B. Nobel,1867,Sweden,
Centigrade Scale,Anders Celsius,1742,Sweden,
CelsiusScale,AndersCelsius,1742,Sweden,
Safety Match,J.E. Lundstrom,1855,Sweden,
Chlorine,Karl Wilhelm Scheele,1774,Sweden,
Pacemaker,Rune Elmqvist,1952,Sweden,
LSD,Albert Hofmann,1938,Switzerland,
Dark Matter,Fritz Zwicky,1933,Switzerland,
gear-making machine,Johann Georg Bodmer,1839,Switzerland,
DDT,Paul Hermann Müller,1939,Switzerland,
automatic spinning mule,Richard Roberts,1825,Wales,
CarbonatedWater,JosephPriestly,1767,United kingdom,
