Year,Country,Name of Invention,Name of Inventor,Category,General_Category
1700,Italy,Piano; The First Piano,Bartolomeo Cristofori,Music,Arts & Media
1701,United Kingdom,mechanical seed drill,Jethro Tull,Agricultural Machinery,Agricultural Sciences & Technology
1709,United Kingdom,used coke to smelt iron,Abraham Darby,Metallurgical Engineering,Chemistry & Materials
1709,Germany; Poland,Alcohol Thermometer,Daniel Gabriel Fahrenheit; Gabriel Fahrenheit,Measurement Instrument; Physics,Physical Sciences
1712,United Kingdom,The First Commercial Steam Engine,Thomas Newcomen,Mechanical Engineering,Engineering & Technology
1712,United Kingdom,atmospheric steam engine,Thomas Newcomen,Mechanical Engineering,Engineering & Technology
1712,United Kingdom,The Newcomen Engine,Thomas Newcomen,Mechanical Engineering,Engineering & Technology
1725,China,Clock Mechanical,Hsing and LingTsan,Horology,Other
1730,United Kingdom; United States,Octant,Thomas Godfrey; John Hadley,Marine Navigation,Engineering & Technology
1730,United Kingdom,quadrant for determining latitude,John Hadley,Measurement Instrument,Physical Sciences
1730,United Kingdom,The Marine Chronometer; marine chronometer,John Harrison,Horology; Marine Technology,Engineering & Technology; Other
1732,France,pitot tube,Henri Pitot,Measurement Instrument,Physical Sciences
1733,United Kingdom,Flying Shuttle; flying shuttle,John Kay,Textile Machinery,Engineering & Technology
1735,Sweden,Systema Naturae,Carl Linnaeus,Biology,Life Sciences & Medicine
1738,United Kingdom,Mechanized Cotton Spinning Machine,Lewis Paul; John Wyatt,Textile Machinery,Engineering & Technology
1740,United Kingdom,crucible steel,Benjamin Huntsman,Metallurgical Engineering,Chemistry & Materials
1740,United States,Franklin Stove; Franklin stove,Benjamin Franklin,Domestic Technology,Engineering & Technology
1742,United Kingdom,Sheffield plate,Thomas Boulsover,Materials Technology,Chemistry & Materials
1742,Sweden,Celsius Scale,Anders Celsius,Measurement Instrument,Physical Sciences
1742,Sweden,Centigrade Scale,Anders Celsius,Measurement Instrument,Physical Sciences
1745,Netherlands,Leyden Jar; The Leyden Jar,Ewald Georg von Kleist; Pieter van Musschenbroek,Electricity,Physical Sciences
1745,France,automated loom,Jacques de Vaucanson,Textile Machinery,Engineering & Technology
1746,United Kingdom,Lead Chamber Process,John Roebuck,Chemical Engineering,Chemistry & Materials
1748,United Kingdom,Refrigerator,William Cullen,Refrigeration Technology,Engineering & Technology
1752,United States,Lightning Rod,Benjamin Franklin,Electricity,Physical Sciences
1752,United States,Lightning Conductor,Benjamin Franklin,Electrical Engineering,Engineering & Technology
1755,United Kingdom,Artificial Refrigeration Machine,William Cullen,Refrigeration Technology,Engineering & Technology
