Year of Invention,Name of Inventor,Name of Scientific Discovery,Nationality
1712,Thomas Newcomen,The Newcomen Engine,United Kingdom
1730,John Harrison,The Marine Chronometer,United Kingdom
1735,Carl Linnaeus,Systema Naturae,Sweden
1745,Pieter van Musschenbroek,The Leyden Jar,Netherlands
1763,Thomas Bayes,Bayes_ Theorem,United Kingdom
1781,William Herschel,Discovery of Uranus,United Kingdom
1796,Edward Jenner,The First Vaccination,United Kingdom
1799,Alessandro Volta,The Battery,Italy
1804,John Dalton,Dalton__ Atomic Theory,United Kingdom
1820,Hans Christian _rsted,Discovery of Electromagnetism,Denmark
1830s,Samuel Morse,The Electric Telegraph,United States
1824,Sadi Carnot,Carnot Cycle,France
1830,James Hutton,Principles of Geology,Scotland
1834,Moritz Jacobi; Thomas Davenport,The Electric Motor,Germany; United States
1848,Lord Kelvin,Absolute Zero,United Kingdom
1850s,Rudolf Clausius,Laws of Thermodynamics,Germany
1859,Charles Darwin,On the Origin of Species,United Kingdom
1860s,Louis Pasteur,Germ Theory of Disease,France
1860s,James Clerk Maxwell,The Electromagnetic Spectrum,Scotland
1866,Gregor Mendel,Laws of Inheritance,Austria
1869,Dmitri Mendeleev,Mendeleev__ Periodic Table of Elements,Russia
1876,Alexander Graham Bell,The Telephone,Scotland
1897,J. J. Thomson,Electron,United Kingdom
1900 _ 1920s,Max Planck,Quantum Mechanics,Germany
1903,Orville Wright; Wilbur Wright,First Successful Airplane,United States
1905,Albert Einstein,Special Relativity,Germany
1911,Ernst Rutherford,Atomic Nucleus,New Zealand
1913,Niels Bohr,Bohr Model of the Atom,Denmark
1915,Albert Einstein,General Relativity,Germany
1927,Georges Lemaître,The Big Bang,Belgium
1932,James Chadwick,Discovery of the Neutron,United Kingdom
1938,Otto Hahn,Nuclear Fission,Germany
1947,John Bardeen; Walter Brattain; William Shockley,The Transistor,United States
1953,Francis Crick; James Watson,The Structure of DNA,United Kingdom; United States
1960s,Harry Hess,Plate Tectonics,United States
1977,NASA,Voyager Program,United States
