1700,,Piano,Bartolomeo Cristofori
1700,,Piano,Bartolomeo Cristofori
1700,,Piano,Bartolomeo Cristofori
1709,,AlcoholThermometer,GabrielFahrenheit
1725,,Clock Mechanical,Hsing and Ling-Tsan
1725,,Clock Mechanical,Hsing and Ling-Tsan
1725,,Clock Mechanical,Hsing and Ling-Tsan
1735,,Carl Linnaeus described a new system for classifying plants in Systema Naturae.,
1742,,CelsiusScale,AndersCelsius
1742,,Centigrade Scale,Anders Celsius
1742,,Centigrade Scale,Anders Celsius
1742,,Centigrade Scale,Anders Celsius
1745,,"Ewald Georg von Kleist first capacitor, the Leyden jar.",
1748,,Refrigerator,William Cullen
1748,,Refrigerator,William Cullen
1748,,Electroscope,Jean Nollet
1749,,Buffon wrote Histoire naturelle.,
1750,,Joseph Black: describes latent heat.,
1751,,Benjamin Franklin: lightning is electrical.,
1752,,LightningConductor,BenjaminFranklin
1752,,Lightning Conductor,Benjamin Franklin
1752,,Lightning Conductor,Benjamin Franklin
1752,,Lightning Conductor,Benjamin Franklin
1755,,Immanuel Kant: Gaseous Hypothesis in Universal Natural History and Theory of Heaven.,
1756,,Mayonnaise,DukedeRichelieu'schef
1757,,Sextant,JohnCampbell
1760,,RollerSkates,JosephMerlin
1761,,Mikhail Lomonosov: discovery of the atmosphere of Venus.,
1763,,"Thomas Bayes: publishes the first version of Bayes' theorem, paving the way for Bayesian probability.",
1765,,Steam engine,James Watt
1765,,Steam engine,James Watt
1766,,Hydrogen,Henry Cavendish
1766,,Hydrogen,Henry Cavendish
1766,,Hydrogen,Henry Cavendish
1767,,CarbonatedWater,JosephPriestly
1771,,"Charles Messier: publishes catalogue of astronomical objects (Messier Objects) now known to include galaxies, star clusters, and nebulae.",
1774,,Chlorine,Carl Wilhelm Scheele
1774,,Oxygen,Joseph Priestley
1774,,Chlorine,Carl Wilhelm Scheele
1774,,Oxygen,Joseph Priestley
1774,,Chlorine,Karl Wilhelm Scheele
1775,,Oxygen,Antoine Laurent Lavoisier
1775,,Steam Ship,J.C Perier
1776,,Submarine,David Bushnell
1778,,Antoine Lavoisier (and Joseph Priestley): discovery of oxygen leading to end of Phlogiston theory.,
1779,,Bifocal Lens,Benjamin Franklin
1779,,Bifocal Lens,Benjamin Franklin
1781,,"William Herschel announces discovery of Uranus, expanding the known boundaries of the Solar System for the first time in modern history.",
1783,,Black holes,John Michell and Albert Einstein
1783,,HotAirBalloon,MontgolfierBrothers
1783,,Parachute,Louis-SebastianLenormand
1783,,Hot Air Balloon,Josef & Etienne Montgolfier
1783,,Parachute,Louis-Sebastien Lenormand
1783,,Hot Air Balloon,Josef & Etienne Montgolfier
1783,,Parachute,Louis-Sebastien Lenormand
1783,,Hot Air Balloon,Josef & Etienne Montgolfier
1783,,Black holes,John Michell and Albert Einstein
1784,,BifocalSpectacles,BenjaminFranklin
1784,,Bifocal Lens,Benjamin Franklin
1785,,Parachute,Jean Pierre Blanchard
1785,,William Withering: publishes the first definitive account of the use of foxglove (digitalis) for treating dropsy.,
1786,,Steam Boat,Robert Fulton
1786,,Steam Boat,Robert Fulton
1786,,Steam Boat,John Fitch
1787,,Jacques Charles: Charles's law of ideal gases.,
1789,,"Antoine Lavoisier: law of conservation of mass, basis for chemistry, and the beginning of modern chemistry.",
1792,,Guillotine,Dr.JosephI.Guillotin
1793,,CottonGin,EliWhitney
1796,,Vaccines,Edward Jenner
1796,,Lithography,AloisSenfelder
1796,,SmallpoxVaccination,EdwardJenner
1796,,Vaccines,Edward Jenner
1796,,Georges Cuvier: Establishes extinction as a fact.,
1796,,Edward Jenner: smallpox historical accounting.,
1796,,Hanaoka Seishū: develops general anaesthesia.,
1800,,Battery(electric),AlessandroVolta
1800,,Electric Battery,Volta
1800,,Electric Battery,Volta
1800,,Electric Battery,Volta
1800,,Alessandro Volta: discovers electrochemical series and invents the battery.,
1802,,Jean-Baptiste Lamarck: teleological evolution.,
1804,,Locomotive,George Stephenson
1804,,Locomotive,George Stephenson
1804,,Locomotive,Richard Trevithick
1805,,John Dalton: Atomic Theory in (chemistry).,
1807,,Steamboat,RobertFulton
1807,,Steam Ship,Robert Fulton
1807,,Steam Ship,Robert Fulton
1810,,Fluorine,André-Marie Ampère
1810,,Fluorine,André-Marie Ampère
1815,,Miners'SafetyLamp,SirHumphryDavy
1816,,Bicycle,KarlvonSauerbronn
1816,,Stethoscope,Rene Laennec
1817,,Kaleidoscope,DavidBrewster
1820,,"Hans Christian Ørsted discovers that a current passed through a wire will deflect the needle of a compass, establishing the deep relationship between electricity and magnetism (electromagnetism).",
1820,,Michael Faraday and James Stoddart discover alloying iron with chromium produces a stainless steel resistant to oxidising elements (rust).,
1821,,Thomas Johann Seebeck is the first to observe a property of semiconductors.[citation needed],
1824,,The laws of thermodynamics,"Sadi Carnot, James Prescott Joule, Rudolf Clausius"
1824,,Greenhouse Effect,"Joseph Fourier, John Tyndall, and Svante Arrhenius"
1824,,Electromagnet,William Sturgeon
1824,,Electromagnet,William Sturgeon
1824,,Electromagnet,William Sturgeon
1824,,The laws of thermodynamics,"Sadi Carnot, James Prescott Joule, Rudolf Clausius"
1824,,"Carnot: described the Carnot cycle, the idealized heat engine.",
1824,,"Joseph Aspdin develops Portland cement (concrete), by heating ground limestone, clay and gypsum, in a kiln.",
1826,,Photography,Joseph Nicéphore Niépce
1826,,Photography,Joseph Nicéphore Niépce
1827,,PhosphorusMatches,JohnWalker
1827,,Fountain Pen,Petrache Poenaru
1827,,Fountain Pen,Petrache Poenaru
1827,,Évariste Galois development of group theory.,
1827,,Georg Ohm: Ohm's law (Electricity).,
1827,,Amedeo Avogadro: Avogadro's law (Gas law).,
1828,,"Friedrich Wöhler synthesized urea, refuting vitalism.",
1830,,Nikolai Lobachevsky created Non-Euclidean geometry.,
1831,,Chloroform,Sir James Young Simpson
1831,,Chloroform,Sir James Young Simpson
1831,,Chloroform,E. Soberran
1831,,Michael Faraday discovers electromagnetic induction.,
1833,,"Anselme Payen isolates first enzyme, diastase.",
1834,,Refrigerator,Jacob Perkins
1834,,Refrigerator,Jacob Perkins
1834,,Refrigerator,Jacob Perkins
1834,,Refrigerator,Jacob Perkins
1836,,Revolver,SamuelColt
1837,,Teflon,SamuelMorse
1837,,"Charles Babbage proposes a design for the construction of a Turing complete, general purpose Computer, to be called the Analytical Engine.",
1838,,Matthias Schleiden: all plants are made of cells.,
1838,,Friedrich Bessel: first successful measure of stellar parallax (to star 61 Cygni).,
1839,,VulcanisedRubber,CharlesGoodyear
1839,,Pedal Driven Bicycle,Kirkpatrick Macmillan
1839,,Ozone,Christian Schonbein
1839,,Pedal Driven Bicycle,Kirkpatrick Macmillan
1839,,Ozone,Christian Schonbein
1839,,Bicycle,Kirkpatrick Macmillan
1839,,Ozone,Christian Schonbein
1841,,Rubber (vulcanized),Charles Goodyear
1841,,Rubber (vulcanized),Charles Goodyear
1841,,Rubber (vulcanized),Charles Goodyear
1841,,Typewriter,Peter Mitterhofer
1842,,Christian Doppler: Doppler effect.,
1843,,"James Prescott Joule: Law of Conservation of energy (First law of thermodynamics), also 1847 – Helmholtz, Conservation of energy.",
1846,,SewingMachine(lockstitch),EliasHowe
1846,,Telegraph,EliasHowe
1846,,Saxophone,Adolphe Sax
1846,,Sewing Machine,Elias Howe
1846,,Johann Gottfried Galle and Heinrich Louis d'Arrest: discovery of Neptune.,
1847,,"George Boole: publishes The Mathematical Analysis of Logic, defining Boolean algebra; refined in his 1854 The Laws of Thought.",
1848,,KelvinScale,LordW.T.Kelvin
1848,,Motorcycle,Edward Butler
1848,,Lord Kelvin: absolute zero.,
1851,,Refrigerator,James Harrison
1852,,Umbrella(steelribbed),SamuelFox
1852,,Elevator,Elisha G. Otis
1852,,Elevator,Elisha G. Otis
1852,,Elevator,Elisha G. Otis
1852,,Steam-Powered Airship,Henri Giffard
1853,,Elevator,ElishaOtis
1854,,Light Bulb,Thomas Edison
1854,,Light Bulb,Thomas Edison
1854,,Light Bulb,Heinrich Goebel
1855,,Safety Match,J.E. Lundstrom
1856,,"Robert Forester Mushet develops a process for the decarbonisation, and re-carbonisation of iron, through the addition of a calculated quantity of spiegeleisen, to produce cheap, consistently high quality steel.",
1857,,SleepingCar,GeorgePullman
1858,,CanOpener,EzraWarner
1858,,WashingMachine(rotary),HamiltonSmith
1858,,Theory of Evolution,Charles Darwin
1858,,Rudolf Virchow: cells can only arise from pre-existing cells.,
1859,,Evolution by natural selection,Charles Darwin
1859,,Refrigerator,FerdinandCarre
1859,,SafetyRazor,KingGillette
1859,,Evolution by natural selection,Charles Darwin
1859,,Charles Darwin and Alfred Wallace: Theory of evolution by natural selection.,
1861,,Linoleum,FrederickWalton
1861,,Celluloid,Alexander Parkes
1861,,Machine Gun,Richard Gatling
1861,,Celluloid,Alexander Parkes
1861,,Machine Gun,Richard Gatling
1861,,Celluloid,Alexander Parkes
1861,,Machine Gun,Richard Gaffing
1861,,Louis Pasteur: Germ theory.,
1861,,John Tyndall:  Experiments in Radiant Energy that reinforced the Greenhouse effect.,
1862,,CylinderLock,LinusYaleJr.
1862,,MachineGun,RichardGattling
1864,,James Clerk Maxwell: Theory of electromagnetism.,
1865,,"Gregor Mendel: Mendel's laws of inheritance, basis for genetics.",
1865,,Rudolf Clausius: Definition of entropy.,
1866,,Dynamite,AlfredNobel
1867,,Dynamite,Alfred B. Nobel
1867,,Dynamite,Alfred B. Nobel
1867,,Dynamite,Alfred B. Nobel
1868,,Helium,Jules Janssen
1868,,Helium,Jules Janssen
1868,,Helium,William Ramsay
1868,,"Robert Forester Mushet discovers that alloying steel with tungsten produces a harder, more durable alloy.",
1869,,The periodic table,Dmitri Mendeleev
1869,,Periodic Table,Dmitri Mendeleev
1869,,Periodic Table,Dmitri Mendeleev
1869,,Periodic Table,Dmitri Mendeleev
1869,,Vacuum Cleaner,Ives McGuffey
1869,,The periodic table,Dmitri Mendeleev
1869,,Dmitri Mendeleev: Periodic table.,
1871,,Lord Rayleigh: Diffuse sky radiation (Rayleigh scattering) explains why sky appears blue.,
1873,,Jeans,LeviStrauss
1873,,Barbed Wire,Joseph F. Glidden
1873,,Electric Motor (DC),Thomas Davenport
1873,,Barbed Wire,Joseph F. Glidden
1873,,Electric Motor (DC),Thomas Davenport
1873,,Barbed Wire,Joseph F. Glidden
1873,,Electric Motor (DC),Zenobe Gramme
1873,,Johannes Diderik van der Waals: was one of the first to postulate an intermolecular force: the van der Waals force.,
1873,,Frederick Guthrie discovers thermionic emission.,
1873,,Willoughby Smith discovers photoconductivity.,
1874,,Telephone,Graham Bell
1875,,William Crookes invented the Crookes tube and studied cathode rays.,
1876,,Telephone,Alexander Graham Bell
1876,,Telephone,Alexander Graham Bell
1876,,Telephone,AlexanderGrahamBell
1876,,Microphone,Alexander Graham Bell
1876,,Microphone,Alexander Graham Bell
1876,,Microphone,Alexander Graham Bell
1876,,Telephone,Alexander Graham Bell
1876,,Telephone,Alexander Graham Bell
1876,,"Josiah Willard Gibbs founded chemical thermodynamics, the phase rule.",
1877,,Phonograph,ThomasEdison
1877,,Ludwig Boltzmann: Statistical definition of entropy.,
1878,,ElectricLightBulb,ThomasEdison
1878,,Gramophone,Thomas Edison
1878,,Gramophone,Thomas Edison
1878,,Gramophone,Thomas Edison
1880,,"John Hopkinson develops three-phase electrical supplies, mathematically proves how multiple AC dynamos can be connected in parallel, improves permanent magnets, and dynamo efficiency, by the addition of tungsten, and describes how temperature effects magnetism (Hopkinson effect).",
1880,,Pierre Curie and Jacques Curie: Piezoelectricity.,
1882,,Iron(electric),HenryW.Seeley
1882,,Electric Fan,Schuyler Wheeler
1882,,Electric Fan,Schuyler Wheeler
1882,,Electric Fan,Wheeler
1884,,FountainPen,LewisE.Waterman
1884,,Fountain Pen,Lewis Edson Waterman
