year,country,doc_number
1905,ES,42168
1905,ES,42183
1905,ES,42172
1905,ES,42143
1905,ES,42127
1905,ES,42184
1905,ES,42155
1905,ES,42123
1905,ES,42153
1905,ES,42145
1905,ES,42185
1905,ES,42108
1905,ES,42109
1905,ES,42194
1905,ES,42128
1905,ES,42196
1905,ES,42192
1905,ES,41860
1905,ES,42181
1905,ES,42193
1905,ES,42182
1905,ES,42177
1905,ES,42191
1905,ES,42190
1905,ES,42195
1905,ES,42188
1905,ES,42189
1905,ES,42187
1905,ES,42180
1905,ES,42186
1905,ES,42179
1905,ES,42157
1905,ES,42175
1905,ES,42176
1905,ES,42174
1905,ES,42171
1905,ES,42167
1905,ES,42169
1905,ES,42161
1905,ES,42163
1905,ES,42164
1905,ES,42160
1905,ES,42170
1905,ES,42159
1905,ES,42166
1905,ES,42162
1905,ES,42156
1905,ES,42178
1905,ES,42165
1905,ES,42158
1905,ES,42150
1905,ES,42149
1905,ES,42133
1905,ES,42142
1905,ES,42141
1905,ES,42146
1905,ES,42144
1905,ES,42151
1905,ES,42154
1905,ES,42136
1905,ES,42140
1905,ES,42148
1905,ES,42137
1905,ES,42134
1905,ES,42147
1905,ES,42122
1905,ES,42139
1905,ES,42119
1905,ES,42132
1905,ES,42138
1905,ES,42135
1905,ES,42113
1905,ES,42125
1905,ES,42131
1905,ES,42116
1905,ES,42129
1905,ES,42114
1905,ES,42121
1905,ES,42115
1905,ES,42110
1905,ES,42124
1905,ES,42120
1905,ES,42117
1905,ES,42130
1905,ES,42107
1905,ES,42126
1905,ES,42112
1905,ES,42103
1905,ES,42118
1905,ES,42101
1905,ES,42111
1905,ES,42095
1905,ES,42094
1905,ES,42025
1905,ES,42104
1905,ES,42100
1905,ES,42098
1905,ES,42102
1905,ES,42096
1905,ES,42044
1905,ES,42099
1905,ES,42097
1905,ES,42080
1905,AU,926007
1905,AU,941307
1905,AU,923707
1905,AU,937007
1905,AU,931607
1905,AU,930007
1905,AU,933007
1905,AU,921807
1905,AU,908307
1905,AU,920407
1905,AU,902207
1905,AU,993907
1905,AU,933207
1905,AU,933807
1905,AU,914607
1905,AU,877807
1905,AU,906107
1905,AU,899507
1905,AU,853207
1905,AU,814507
1905,CA,109632
1905,CA,109631
1905,CA,109630
1905,CA,109629
1905,CA,109628
1905,CA,109627
1905,CA,109626
1905,CA,109625
1905,CA,109624
1905,CA,109623
1905,CA,109622
1905,CA,109621
1905,CA,109620
1905,CA,109619
1905,CA,109618
1905,CA,109617
1905,CA,109616
1905,CA,109615
1905,CA,109614
1905,CA,109613
1905,CA,109612
1905,CA,109611
1905,CA,109610
1905,CA,109608
1905,CA,109607
1905,CA,109606
1905,CA,109605
1905,CA,109604
1905,CA,109603
1905,CA,109602
1905,CA,109601
1905,CA,109600
1905,CA,109599
1905,CA,109598
1905,CA,109597
1905,CA,109596
1905,CA,109595
1905,CA,109594
1905,CA,109593
1905,CA,109592
1905,CA,109591
1905,CA,109590
1905,CA,109588
1905,CA,109587
1905,CA,109586
1905,CA,109585
1905,CA,109584
1905,CA,109583
1905,CA,109582
1905,CA,109581
1905,CA,109580
1905,CA,109579
1905,CA,109578
1905,CA,109577
1905,CA,109576
1905,CA,109575
1905,CA,109574
1905,CA,109573
1905,CA,109572
1905,CA,109571
1905,CA,109570
1905,CA,109568
1905,CA,109567
1905,CA,109566
1905,CA,109565
1905,CA,109564
1905,CA,109563
1905,CA,109562
1905,CA,109561
1905,CA,109560
1905,CA,109559
1905,CA,109558
1905,CA,109557
1905,CA,109556
1905,CA,109555
1905,CA,109554
1905,CA,109553
1905,CA,109552
1905,CA,109551
1905,CA,109550
1905,CA,109549
1905,CA,109548
1905,CA,109547
1905,CA,109546
1905,CA,109545
1905,CA,109544
1905,CA,109543
1905,CA,109542
1905,CA,109541
1905,CA,109540
1905,GB,190717061
1905,FR,381255
1905,SE,23838
1905,SE,23837
1905,SE,23836
1905,SE,23835
1905,SE,23834
1905,SE,23833
1905,SE,23831
1905,SE,23830
1905,SE,23829
1905,SE,23828
1905,SE,23827
1905,SE,23826
1905,SE,23825
1905,SE,23824
1905,SE,23823
1905,SE,23822
1905,SE,23821
1905,SE,23820
1905,SE,23819
1905,SE,23818
1905,SE,23817
1905,SE,23811
1905,SE,23810
1905,SE,23809
1905,SE,23807
1905,SE,23805
1905,SE,23804
1905,SE,23803
1905,SE,23802
1905,SE,23801
1905,US,876312
1905,US,876311
1905,US,876310
1905,US,876309
1905,US,876308
1905,US,876307
1905,US,876306
1905,US,876305
1905,US,876304
1905,US,876303
1905,US,876302
1905,US,876301
1905,US,876300
1905,US,876299
1905,US,876298
1905,US,876297
1905,US,876296
1905,US,876295
1905,US,876294
1905,US,876293
1905,US,876292
1905,US,876291
1905,US,876290
1905,US,876289
1905,US,876288
1905,US,876287
1905,US,876286
1905,US,876285
1905,US,876284
1905,US,876283
1905,US,876282
1905,US,876281
1905,US,876280
1905,US,876279
1905,US,876278
1905,US,876277
1905,US,876276
1905,US,876275
1905,US,876274
1905,US,876273
1905,US,876272
1905,US,876271
1905,US,876270
1905,US,876269
1905,US,876268
1905,US,876267
1905,US,876266
1905,US,876265
1905,US,876264
