year,content
3.3 Mya – 2.6 Mya:,"3.3 Mya – 2.6 Mya: Stone tools - found in modern-day Kenya are older and only found on the archetype road. Ancient stone tools from Ethiopia (Oldowan) were hand-crafted by Australopithecus or related people.[1][2][further explanation needed]
Links: Stone tool(Stone tools) | Kenya(Kenya) | Ethiopia(Ethiopia) | Oldowan(Oldowan) | Australopithecus(Australopithecus) | ([1]) | ([2]) | Wikipedia:Please clarify(further explanation needed)"
2.3 Mya:,"2.3 Mya: Earliest likely control of fire and cooking, by Homo habilis[3][4][5]
Links: Control of fire by early humans(control of fire) | Cooking(cooking) | Homo habilis(Homo habilis) | ([3]) | ([4]) | ([5])"
1.76 Mya:,"1.76 Mya: Advanced (Acheulean) stone tools in Kenya by Homo erectus[6][7]
Links: Acheulean(Acheulean) | Kenya(Kenya) | Homo erectus(Homo erectus) | ([6]) | ([7])"
1.75 Mya – 150 kya:,"1.75 Mya – 150 kya: Varying estimates for the origin of language[8][9]
Links: Origin of language(origin of language) | ([8]) | ([9])"
1.5 Mya:,"1.5 Mya: Bone tools in Africa by Homo erectus and/or Paranthropus boisei[10][11][12]
Links: Bone tool(Bone tools) | Homo erectus(Homo erectus) | Paranthropus boisei(Paranthropus boisei) | ([10]) | ([11]) | ([12])"
900 kya – 40 kya:,"900 kya – 40 kya: Boats[13][14]
Links: Boat(Boats) | ([13]) | ([14])"
500 kya:,"500 kya: Hafting in South Africa by Homo heidelbergensis[15]
Links: Hafting(Hafting) | Homo heidelbergensis(Homo heidelbergensis) | ([15])"
500 kya – 450 kya:,"500 kya – 450 kya: Woodworking construction in Zambia by Homo heidelbergensis[16] (The oldest known surviving buildings are made from stone and date back no more than 9,500 years.[17])
Links: Woodworking(Woodworking) | Zambia(Zambia) | Homo heidelbergensis(Homo heidelbergensis) | ([16]) | List of oldest extant buildings(oldest known surviving buildings) | ([17])"
420 – 200 kya:,"420 – 200 kya: Food storage in the form of uncracked bones saved for their marrow in Qesem cave, Palestine.[18]
Links: Food storage(Food storage) | Qesem cave(Qesem cave) | ([18])"
400 kya:,"400 kya: Pigments in Zambia by Homo heidelbergensis[19]
Links: Pigment(Pigments) | Homo heidelbergensis(Homo heidelbergensis) | ([19])"
400 kya – 300 kya:,"400 kya – 300 kya: Spears in Germany[20][21] likely by Homo heidelbergensis
Links: Spear(Spears) | Germany(Germany) | ([20]) | ([21]) | Homo heidelbergensis(Homo heidelbergensis)"
320 kya:,"320 kya: The trade and long-distance transportation of resources (e.g. obsidian), use of pigments, and possible making of projectile points in Kenya[22][23][24]
Links: Trade(trade) | Transportation(transportation) | ([22]) | ([23]) | ([24])"
