Year,Name,Inventor
1900,Planck,Quantum theory proposed
1901,Landsteiner,Discovery of human blood groups
1905,Einstein,Wave-particle duality of light
1905,Einstein,Special theory of relativity
1906,Hopkins,Existence of vitamins proposed
1906,Oldham,Evidence that Earth has a core
1908,Haber,Synthesis of ammonia from its elements
1909,Garrod,Idea of genetic disease introduced
1909,Mohorovicic,Boundary between Earth's crust and mantle identified
1909,Walcott,Discovery of Burgess Shale: ancient invertebrate fossils
1910,Morgan and others,First mapping of a gene to a chromosome
1911,Rutherford,Discovery of the atomic nucleus
1911,Onnes,Superconductivity discovered
1912,Hess,Discovery of cosmic rays
1912,Wegener,Idea of continental drift presented
1914,Dale; Barger; Loewi,First steps in elucidating chemical transmission of nerve impulses: neurotransmitters
1914,Milankovitch,Astronomical theory of climate change
1915,Einstein,General theory of relativity
1918 onward,Fisher; Haldane; Wright,Synthesis of genetics with the theory of evolution by natural selection (neodarwinism)
1921,Banting & Best,Isolation of insulin
1923,Hubble,Nature of galaxies discovered
1925,Dart,Description ofAustralopithecus africanus
1925-26,Heisenberg; Schrödinger,Matrix and wave formulations of quantum mechanics
1927,Davisson & Germer,Matter is proved to be wavelike
1928,Fleming,Discovery of penicillin
1929,Hubble,Expansion of the Universe established
1929,Matuyama,First suggestion that Earth's magnetic field reverses
1930,Holmes,First absolute geological timescale
1930s,Pauling,Theory of chemical bonds developed
1930s onward,von Frisch; Lorenz; Tinbergen,Establishment of the scientific study of animal behavior
1931,Jansky,Birth of radioastronomy
1931,Ruska,First electron microscope
1932,Chadwick,Discovery of the neutron
1932,Anderson,"Discovery of the positron, first antimatter particle"
1935,Richter,Magnitude scale for earthquakes
1935,Yukawa,Theory of the nuclear force
1937,Krebs,Discovery of the citric acid cycle
1938,Bethe; von Weizsäcker,Nuclear reactions in stars
1938,Kapitza,First observation of superfluidity
1939,Meitner & Frisch,Discovery of nuclear fission
1943,Luria & Delbrück,Mutations in bacteria identified
1944,"Avery, MacLeod, and McCarty",Evidence in bacteria that DNA is the genetic material
1944,Borlaug,"Start of Mexican wheat improvement program, leading to the ""green revolution"""
1945,Beadle & Tatum,"Formulation of the one-gene, one-enzyme hypothesis"
1946,Libby,Radiocarbon dating
1946,Calvin,Initial elucidation of the reactions involved in photosynthesis
1947,"Shockley, Bardeen, and Brattain",Invention of the transistor
1948,"Gamow, Alpher, and Herman",Big Bang theory for origin of the Universe
1948,Feynman; Schwinger; Tomonaga,Quantum electrodynamics
1949,Burnet,Immunological tolerance hypothesis proposed
1951,McClintock,"Presentation of the idea of gene transposition: ""jumping genes"""
1952,Salk,First polio vaccine
1952,Hodgkin & Huxley,Theory of nerve-cell excitation announced
1953,Miller & Urey,"Production of amino acids in ""early Earth"" conditions"
1953,Sangeret al.,First determination of the amino-acid sequence of a protein
1953,Watson & Crick,Structure of DNA: the double helix
1956,Cowan & Reines,Discovery of the neutrino
1957,"Bardeen, Cooper, and Schrieffer",Superconductivity explained
1958,Esaki,Quantum tunneling of electrons in semiconductors
1958,Kendrewet al.,First three-dimensional protein structure published
1960,Maiman,First laser
1960 onward,Leakeys and others,Discoveries of fossils of earlyHomoin East Africa
1961,triplet code proposed Cricket al.,Nature of the genetic
1963,Lorenz,Deterministic chaos: the butterfly effect
1963,Schmidt,Discovery of quasars
1963,Vine & Matthews,Explanation for magnetic stripes on the sea floor: seafloor spreading
1964,Gell-Mann; Zweig,Existence of quarks proposed
1964,Hamilton,Genetic explanations proposed for animal social behavior
1965,Penzias & Wilson,Discovery of cosmic microwave background radiation
1967,Manabe & Wetherald,"First warning of an anthropogenic ""greenhouse effect"""
1967,McKenzie & Parker; Morgan,Theory of plate tectonics
1967,Weinberg; Glashow; Salam,"Electroweak theory, first unification of fundamental forces"
1967,Margulis,Proposal that certain cell organelles are descended from free-living bacteria
1968,Hewishet al.,Pulsars discovered
1968,the neutral theory proposed Kimura,Theory of random molecular evolution
1970,Baltimore; Temin & Mizutani,Reverse transcriptase discovered
1973,"Klebesadel, Strong, and Olsen",Gamma-ray bursts from outer space
1973,"Cohen, Boyer, and Berg",Advent of genetic engineering techniques
1973,Lauterbur,Invention of magnetic resonance imaging
1974,Molina & Rowland,Identification of CFCs as threat to ozone layer
1974,Zinkernagel & Doherty,Principles of cell-mediated immunity unveiled
1974,Johanson & Taieb,"Discovery of ""Lucy,""Australopithecus afarensis"
1974,Georgi & Glashow,First Grand Unified Theory of particle physics
1975,Köhler & Milstein,Monoclonal antibodies created
1976,Neher & Sakmann,Patch-clamp technique for studying single ion channels
1977,Sangeret al.,First complete DNA sequence of an organism
1977,Corlisset al.,Discovery of deep-sea hydrothermal vents
1978,Rubin,Observation of astronomical dark matter
1980,Nüsslein-Volhard & Wieschaus,Unveiling of genetic controls on animal body-plan development
1980,"""cancer gene"" identified Weinberg",First human oncogene
1980,Impact hypothesis for extinctions at the CretaceousTertiary boundary Alvarezet al.,Impact hypothesis for extinctions at the CretaceousTertiary boundary
1981,Green & Schwarz,Superstring theory
1982,Prusiner,Prion hypothesis proposed
1983,Barré-Sinoussiet al.,AIDS virus identified
1985,Jeffreys,Genetic fingerprinting invented
1985,Farmanet al.,Ozone hole discovered
1985,Krotoet al.,Discovery of buckminsterfullerene
1986,Bednorz & Müller,First high-temperature superconductor
1987,"Cann, Stoneking, and Wilson","Formulation of the ""Out of Africa"" hypothesis of human evolution using molecular data"
1995,Cornell & Wieman,Bose-Einstein condensation of trapped atoms
1995,Mayor & Queloz,First extrasolar planet identified
1997,Wilmutet al.,Dolly the sheep created by cloning
2001,International Human Genome Sequencing Consortium; Venteret al.,Publication of near-complete sequences of the human genome
