1876,,Telephone,Alexander Graham Bell,
1895,,Radio,Guglielmo Marconi,
1927,,Television,Philo Farnsworth,
1834,,Refrigerator,Jacob Perkins,
1886,,Automobile,Karl Benz,
1903,,Airplane,The Wright brothers (Orville and Wilbur Wright),
1765,,Steam engine,James Watt,
1928,,Penicillin,Alexander Fleming,
1796,,Vaccines,Edward Jenner,
1977,,MRI,Raymond Damadian,
1953,,DNA,James Watson and Francis Crick,
1972,,Genetic engineering,Paul Berg,
1590,,Microscope,Zacharias Janssen and Hans Janssen,
1608,,Telescope,Hans Lippershey,
1973,,Mobile phones,Martin Cooper,
1440,,Printing press,Johannes Gutenberg,
1826,,Photography,Joseph Nicéphore Niépce,
1888,,Film,George Eastman,
1960,,Laser,Theodore H. Maiman,
1947,,Transistor,"William Shockley, John Bardeen and Walter Brattain",
1978,,GPS,"Roger L. Easton, Ivan A. Getting and Bradford Parkinson",
1945,,Atomic bomb,J. Robert Oppenheimer and team,
1942,,Nuclear power,Enrico Fermi and team,
1982,,Artificial heart,Robert Jarvik,
1956,,Artificial intelligence,"John McCarthy, Marvin Minsky, Allen Newell and Herbert A. Simon",
1968,,Virtual reality,Ivan Sutherland,
Early 20th century,,Quantum mechanics,"Max Planck, Albert Einstein, Werner Heisenberg, Erwin Schrödinger and others",
1911,,Superconductivity,Heike Kamerlingh Onnes,
1935,,Radar,Robert Watson,
1945,,Microwave oven,Percy Spencer,
1876,,Telephone,Alexander Graham Bell,
1895,,Radio,Guglielmo Marconi,
1927,,Television,Philo Farnsworth,
1834,,Refrigerator,Jacob Perkins,
1886,,Automobile,Karl Benz,
1953,,The structure of DNA,James Watson and Francis Crick,
1859,,Evolution by natural selection,Charles Darwin,
1824-1865,,The laws of thermodynamics,"Sadi Carnot, James Prescott Joule, Rudolf Clausius",
1905-1915,,The theory of relativity,Albert Einstein,
1869,,The periodic table,Dmitri Mendeleev,
1912,,Plate tectonics,Alfred Wegener,
1927,,The Big Bang theory,Georges Lemaître,
1900-1930s,,Quantum mechanics,"Max Planck, Werner Heisenberg, Erwin Schrödinger, Paul Dirac",
2012,,Higgs Boson,Peter Higgs and François Englert,
"1783 and 1916, respectively",,Black holes,John Michell and Albert Einstein,
1992,,Exoplanets,Aleksander Wolszczan and Dale Frail,
1912,,Continental Drift,Alfred Wegener,
1897,,The Electron,J.J. Thomson,
1896-1898,,Radioactivity,"Marie Curie, Pierre Curie, and Henri Becquerel",
1932,,The Neutron,James Chadwick,
1917,,The Proton,Ernest Rutherford,
1965,,Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson,
2015,,Gravitational Waves,LIGO Scientific Collaboration,
1985,,Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin",
"1824, 1861, and 1896, respectively",,Greenhouse Effect,"Joseph Fourier, John Tyndall, and Svante Arrhenius",
1933,,Dark Matter,Fritz Zwicky,
1998,,Dark Energy,"Saul Perlmutter, Brian P. Schmidt, and Adam G. Riess",
1963,,First Supermassive Black Hole,Maarten Schmidt,
2015,,First Black Hole Merger,LIGO Scientific Collaboration,
