year,country,doc_number
1966,FR,3879
1966,FR,3894
1966,FR,3893
1966,FR,3892
1966,FR,3891
1966,FR,3890
1966,FR,3889
1966,FR,3888
1966,FR,3887
1966,FR,3886
1966,FR,3885
1966,FR,3884
1966,FR,3882
1966,FR,3881
1966,FR,3880
1966,FR,3878
1966,FR,3877
1966,FR,3876
1966,FR,3875
1966,FR,3873
1966,FR,3872
1966,FR,3871
1966,FR,3870
1966,FR,3869
1966,FR,3868
1966,FR,3867
1966,FR,3866
1966,FR,3800
1966,FR,3801
1966,FR,3803
1966,FR,3804
1966,FR,3805
1966,FR,3806
1966,FR,3807
1966,FR,3808
1966,FR,3809
1966,FR,3810
1966,FR,3811
1966,FR,3812
1966,FR,3813
1966,FR,3814
1966,FR,3815
1966,FR,3816
1966,FR,3817
1966,FR,3818
1966,FR,3819
1966,FR,3820
1966,FR,3821
1966,FR,3822
1966,FR,3823
1966,FR,3824
1966,FR,3825
1966,FR,3826
1966,FR,3827
1966,FR,3828
1966,FR,3829
1966,FR,3830
1966,FR,3831
1966,FR,3832
1966,FR,3833
1966,FR,3834
1966,FR,3835
1966,FR,3836
1966,FR,3865
1966,FR,3864
1966,FR,3863
1966,FR,3862
1966,FR,3860
1966,FR,3859
1966,FR,3857
1966,FR,3856
1966,FR,3855
1966,FR,3854
1966,FR,3852
1966,FR,3851
1966,FR,3850
1966,FR,3849
1966,FR,3848
1966,FR,3847
1966,FR,3846
1966,FR,3837
1966,FR,3838
1966,FR,3839
1966,FR,3840
1966,FR,3842
1966,FR,3843
1966,FR,3844
1966,FR,3845
1966,FR,1426238
1966,FR,1425988
1966,NL,112397
1966,ZA,66298
1966,JP,S411028
1966,JP,S411218
1966,JP,S411016
1966,CA,27864
1966,BE,667066
1966,JP,S41754
1966,JP,S411164
1966,JP,S41334
1966,JP,S411018
1966,CA,27862
1966,JP,S41875
1966,JP,S41882
1966,ES,117627
1966,ES,117207
1966,ES,117788
1966,ES,117941
1966,ES,117946
1966,ES,117945
1966,ES,117940
1966,ES,117935
1966,ES,117936
1966,ES,117612
1966,ES,117888
1966,ES,117930
1966,ES,117925
1966,SE,218886
1966,SE,201514
1966,NL,112417
1966,FR,3972
1966,FR,3971
1966,FR,3970
1966,FR,3969
1966,FR,3968
1966,FR,3967
1966,FR,3966
1966,FR,3965
1966,FR,3964
1966,FR,3963
1966,FR,3962
1966,FR,3961
1966,FR,3960
1966,FR,3959
1966,FR,3958
1966,FR,3957
1966,FR,3956
1966,FR,3955
1966,FR,3954
1966,FR,3953
1966,FR,3952
1966,FR,3951
1966,FR,3950
1966,FR,3945
1966,FR,3941
1966,FR,3939
1966,FR,3938
1966,FR,3937
1966,FR,3936
1966,FR,3935
1966,FR,3934
1966,FR,3933
1966,FR,3931
1966,FR,3930
1966,FR,3928
1966,FR,3927
1966,FR,3926
1966,FR,3925
1966,FR,3924
1966,FR,3923
1966,FR,3922
1966,FR,3921
1966,FR,3920
1966,FR,3919
1966,FR,3918
1966,FR,3917
1966,FR,3916
1966,FR,3915
1966,FR,3914
1966,FR,3913
1966,FR,3909
1966,FR,3908
1966,FR,3907
1966,FR,3906
1966,FR,3905
1966,FR,3904
1966,FR,3903
1966,FR,3902
1966,FR,3901
1966,FR,3900
1966,FR,3899
1966,FR,3898
1966,FR,3897
1966,FR,3896
1966,FR,3895
1966,FR,3841
1966,SE,201463
1966,SE,201580
1966,DD,43595
1966,JP,S412836
1966,JP,S413193
1966,JP,S411253
1966,JP,S413082
1966,JP,S412822
1966,JP,S402660
1966,JP,S412585
1966,JP,S411179
1966,JP,S411178
1966,JP,S413278
1966,JP,S412489
1966,CA,28013
1966,JP,S412966
1966,ES,317325
1966,JP,S411256
1966,ES,116282
1966,ES,117519
1966,ES,118708
1966,ES,118706
1966,ES,118703
1966,ES,118701
1966,ES,118704
1966,ES,118699
1966,ES,118685
1966,ES,118684
1966,ES,118688
1966,ES,118691
1966,ES,118711
1966,ES,118700
1966,ES,118690
1966,ES,118176
1966,ES,118686
1966,ES,118682
1966,ES,118687
1966,ES,118661
1966,ES,118709
1966,ES,118662
1966,ES,118705
1966,ES,118171
1966,ES,118431
1966,ES,118169
1966,ES,118178
1966,ES,118694
1966,ES,118681
1966,ES,118678
1966,SE,219372
1966,SE,202856
1966,SE,219493
1966,BE,672704
1966,BE,669789
1966,SE,202902
1966,BE,669476
1966,BE,672527
1966,SU,179189
1966,SE,203243
1966,SE,203125
1966,SE,202324
1966,SE,202455
1966,FR,109
1966,JP,S415444
1966,FR,4046
1966,FR,4045
