year,country,doc_number
1782,GB,178201321
1784,GB,178401432
1785,GB,178501470
1786,GB,178601565
1787,GB,178701616
1789,GB,178801675
1817,GB,181704136
1827,ES,596
1827,ES,595
1828,ES,603
1828,ES,17
1828,ES,597
1828,ES,601
1828,ES,14
1828,ES,605
1828,ES,15
1828,ES,604
1828,ES,16
1828,ES,18
1828,ES,598
1828,ES,602
1828,ES,600
1828,ES,599
1829,ES,25
1829,ES,33
1830,ES,57
1830,ES,58
1830,ES,53
1830,ES,61
1831,ES,3
1831,ES,10
1831,ES,6
1831,ES,64
1831,ES,65
1831,ES,5
1831,ES,8
1831,ES,9
1831,ES,4
1831,ES,72
1832,ES,12
1832,ES,19
1832,ES,11
1832,ES,22
1832,ES,84
1832,ES,75
1832,ES,76
1832,ES,20
1833,GB,183306525
1833,ES,32
1833,ES,35
1833,ES,27
1833,ES,83
1833,ES,28
1833,ES,44
1833,ES,41
1833,ES,31
1833,ES,34
1833,ES,39
1833,ES,26
1833,ES,30
1833,ES,37
1833,ES,29
1833,ES,40
1833,ES,85
1833,ES,92
1833,ES,38
1833,ES,91
1834,ES,56
1834,ES,105
1834,ES,46
1834,ES,47
1834,ES,48
1834,ES,45
1834,ES,43
1834,ES,54
1834,ES,49
1834,ES,51
1834,ES,42
1834,ES,55
1835,ES,62
1835,ES,60
1835,ES,70
1835,ES,609
1835,ES,69
1835,ES,610
1835,ES,67
1835,ES,66
1835,ES,606
1835,ES,608
1835,ES,74
1835,ES,607
1835,ES,110
1835,ES,77
1835,ES,73
1835,ES,612
1835,ES,63
1836,US,91
1836,US,33
1836,US,47
1836,US,97
1836,US,70
1836,US,87
1836,US,21
1836,ES,80
1836,US,46
1836,US,7
1836,US,107
1836,US,60
1836,US,16
1836,US,67
1836,US,86
1836,US,34
1836,US,73
1836,ES,2
1836,ES,617
1836,ES,114
1836,US,6
1836,US,26
1836,US,88
1836,ES,119
1836,ES,616
1836,US,11
1836,US,96
1836,ES,614
1836,US,53
1836,US,39
1836,US,25
1836,US,28
1836,US,4
1836,US,54
1836,US,40
1836,US,37
1836,US,68
1836,US,30
1836,US,9
1836,US,104
1836,US,48
1836,US,22
1836,US,99
1836,US,69
1836,ES,71
1836,US,19
1836,US,101
