year,sample_amount
1929,881
1930,894
1931,907
1932,920
1933,933
1934,947
1935,960
1936,973
1937,987
1938,1000
1939,1014
1940,1028
1941,1041
1942,1055
1943,1069
1944,1083
1945,1097
1946,1112
1947,1126
1948,1140
1949,1155
1950,1169
1951,1184
1952,1199
1953,1214
1954,1228
1955,1243
1956,1259
1957,1274
1958,1289
1959,1304
1960,1320
1961,1335
1962,1351
1963,1366
1964,1382
1965,1398
1966,1414
1967,1430
1968,1446
1969,1462
1970,1478
1971,1495
1972,1511
1973,1527
1974,1544
1975,1561
1976,1577
1977,1594
1978,1611
1979,1628
1980,1645
1981,1662
1982,1680
1983,1697
1984,1714
1985,1732
1986,1750
1987,1767
1988,1785
1989,1803
1990,1821
1991,1839
1992,1857
1993,1875
1994,1893
1995,1912
1996,1930
1997,1949
1998,1967
1999,1986
2000,2005
2001,2024
2002,2042
2003,2061
2004,2081
2005,2100
2006,2119
2007,2138
2008,2158
2009,2177
2010,2197
2011,2217
2012,2236
2013,2256
2014,2276
2015,2296
2016,2316
2017,2337
2018,2357
2019,2377
2021,2418
2022,2439
2023,2460
2024,2480
